2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-04-20]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [5319.02]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [92.99]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [723.99]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [631.00]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [723.99]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [6], residualAmount: [5319.02], interestAmount: [92.99], capitalAmount: [631.00], installmentAmount: [723.99], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.1099]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [7]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.1099]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.2098]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0174833333]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [4688.02]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-05-20]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [4688.02]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [84.69]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [723.99]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [639.30]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [723.99]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [7], residualAmount: [4688.02], interestAmount: [84.69], capitalAmount: [639.30], installmentAmount: [723.99], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.1099]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [8]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.1099]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.2098]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0174833333]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [4048.72]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-06-20]
2024-04-13 23:43:29.275 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [4048.72]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [70.79]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [723.99]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [653.20]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [723.99]
